iter	Passed	Remaining
1611	83060	123044
1612	83097	122971
1613	83113	122867
1614	83179	122838
1615	83200	122741
1616	83222	122645
1617	83267	122585
1618	83324	122541
1619	83362	122471
1620	83369	122354
1621	83407	122282
1622	83432	122193
1623	83479	122134
1624	83522	122071
1625	83555	121992
1626	83611	121948
1627	83670	121908
1628	83712	121843
1629	83745	121764
1630	83754	121652
1631	83772	121551
1632	83805	121474
1633	83846	121408
1634	83879	121330
1635	83943	121298
1636	83971	121211
1637	84025	121165
1638	84060	121089
1639	84104	121028
1640	84135	120947
1641	84192	120904
1642	84248	120860
1643	84276	120775
1644	84302	120688
1645	84337	120613
1646	84377	120546
1647	84407	120465
1648	84442	120390
1649	84470	120307
1650	84518	120250
1651	84589	120227
1652	84629	120160
1653	84692	120126
1654	84722	120045
1655	84741	119947
1656	84767	119861
1657	84789	119769
1658	84811	119676
1659	84825	119572
1660	84842	119473
1661	84879	119403
1662	84914	119329
1663	84951	119259
1664	85022	119235
1665	85044	119143
1666	85092	119089
1667	85134	119025
1668	85187	118976
1669	85229	118912
1670	85296	118883
1671	85338	118820
1672	85386	118765
1673	85456	118740
1674	85508	118690
1675	85563	118645
1676	85612	118590
1677	85684	118569
1678	85756	118547
1679	85777	118454
1680	85840	118419
1681	85887	118364
1682	85923	118291
1683	85967	118231
1684	86008	118166
1685	86087	118152
1686	86111	118065
1687	86127	117965
1688	86145	117870
1689	86164	117775
1690	86195	117696
1691	86209	117595
1692	86295	117592
1693	86349	117546
1694	86362	117443
1695	86397	117369
1696	86450	117322
1697	86522	117299
